================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: MBE1BF6ECBD, driver: driver1 ----------------------------------
2015-11-07 11:40:32,505 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects389
2015-11-07 11:40:32,518 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects390
2015-11-07 11:40:32,528 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects391
2015-11-07 11:40:32,547 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects392
2015-11-07 11:40:32,561 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects393
2015-11-07 11:40:32,576 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects394
2015-11-07 11:40:32,589 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects395
2015-11-07 11:40:32,603 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects396
2015-11-07 11:40:32,617 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects397
2015-11-07 11:40:32,630 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects398
2015-11-07 11:40:32,645 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects399
2015-11-07 11:40:32,660 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects400
2015-11-07 11:40:32,678 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects300
2015-11-07 11:40:32,704 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects301
2015-11-07 11:40:32,724 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects302
2015-11-07 11:40:32,743 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects303
2015-11-07 11:40:32,763 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects304
2015-11-07 11:40:32,792 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects305
2015-11-07 11:40:32,807 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects306
2015-11-07 11:40:32,820 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects307
2015-11-07 11:40:32,837 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects308
2015-11-07 11:40:32,858 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects309
2015-11-07 11:40:32,873 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects310
2015-11-07 11:40:32,889 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects311
2015-11-07 11:40:32,905 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects312
2015-11-07 11:40:32,923 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects313
2015-11-07 11:40:32,943 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects314
2015-11-07 11:40:32,958 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects315
2015-11-07 11:40:32,980 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects316
2015-11-07 11:40:32,995 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects317
2015-11-07 11:40:33,013 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects318
2015-11-07 11:40:33,031 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects319
2015-11-07 11:40:33,062 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects320
2015-11-07 11:40:33,075 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects321
2015-11-07 11:40:33,091 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects322
2015-11-07 11:40:33,106 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects323
2015-11-07 11:40:33,121 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects324
2015-11-07 11:40:33,147 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects325
2015-11-07 11:40:33,161 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects326
2015-11-07 11:40:33,175 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects327
2015-11-07 11:40:33,189 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects328
2015-11-07 11:40:33,208 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects329
2015-11-07 11:40:33,225 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects330
2015-11-07 11:40:33,299 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects331
2015-11-07 11:40:33,313 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects332
2015-11-07 11:40:33,328 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects333
2015-11-07 11:40:33,345 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects334
2015-11-07 11:40:33,361 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects335
2015-11-07 11:40:33,380 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects336
