       p2p2       
 KB/s in  KB/s out
 1179.15   1515.04
 1189.20   1470.20
 2074.71   1602.37
 1376.66   1378.31
  944.17   1325.46
  789.84   1147.76
 1028.59   1256.71
 1826.39   1981.66
       p2p2       
 KB/s in  KB/s out
 1957.96   1425.19
  976.11   1360.21
  772.71   1147.25
 1279.79   1481.37
 2093.60   1458.81
 1238.46   1521.61
 1209.83   1480.01
  969.85   1361.03
 1231.89   1497.69
 1964.03   1780.25
 1520.64   1372.40
 1061.14   1429.15
  875.86   1260.72
 1207.16   1495.21
 1756.82   1870.13
 1600.08    983.84
 1073.43   1433.34
 1001.35   1334.96
 1406.54   1591.09
 2349.30   1861.11
  965.53   1249.55
  980.41   1390.61
       p2p2       
 KB/s in  KB/s out
  947.41   1321.41
 1127.34   1428.40
 1705.74   1818.62
 1963.82   1459.38
  890.07   1214.40
  944.14   1283.26
 1176.84   1392.94
 2294.92   1748.11
 1203.90   1322.25
  950.22   1386.77
  873.59   1294.40
 1061.95   1357.95
 1597.79   1769.39
 1992.36   1424.35
 1013.21   1312.07
  808.57   1257.25
 1147.48   1334.93
 2314.67   1847.24
 1208.28   1288.45
  882.05   1257.97
  983.73   1326.55
 1071.59   1288.33
       p2p2       
 KB/s in  KB/s out
 1634.99   1674.79
 1834.14   1376.77
 1025.03   1396.70
  966.25   1322.87
 1062.83   1262.52
 2203.97   1798.31
 1158.26   1285.96
  981.16   1324.34
 1048.18   1387.88
 1048.53   1272.69
 1668.57   1777.23
 1893.28   1447.93
  870.01   1205.44
  836.30   1236.57
 1299.56   1561.04
 2318.27   1872.64
 1372.96   1406.57
  717.69   1128.80
 1051.57   1431.28
 1025.97   1289.51
 1821.91   1832.60
 1886.01   1469.17
       p2p2       
 KB/s in  KB/s out
  800.15   1210.86
 1105.54   1491.31
 1346.73   1517.06
 2199.27   1636.83
 1196.07   1301.77
  939.31   1296.05
 1033.16   1441.97
 1130.03   1460.71
 1554.54   1733.60
 1915.95   1279.95
  956.28   1305.35
  938.13   1332.99
 1194.33   1435.32
 2216.12   1690.82
 1332.95   1424.23
  888.55   1232.43
 1051.59   1505.49
 1051.16   1324.19
 1796.37   1834.04
 1874.17   1298.66
 1073.50   1507.37
  899.21   1274.93
       p2p2       
 KB/s in  KB/s out
 1183.96   1340.07
 2240.68   1798.92
 1359.60   1522.91
 1040.15   1412.29
 1157.06   1559.06
 1143.12   1357.32
 1717.69   1769.98
 1735.05   1280.96
 1113.92   1486.83
  989.28   1383.90
 1220.29   1382.80
 2276.30   1764.21
 1232.44   1400.54
  933.62   1281.73
