Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

09:24:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:27 PM  all   15.81    0.00    9.47   27.87    0.04    2.11    0.00    0.00    0.00   44.69
09:24:28 PM  all    9.80    0.00    8.54   37.62    0.00    1.39    0.00    0.00    0.00   42.65
09:24:29 PM  all    3.05    0.00    2.79   35.86    0.00    0.79    0.00    0.00    0.00   57.50
09:24:30 PM  all    6.23    0.00    4.60   27.98    0.00    0.84    0.00    0.00    0.00   60.34
09:24:31 PM  all    6.90    0.00    4.38   36.27    0.00    0.61    0.00    0.00    0.00   51.84
09:24:32 PM  all    5.88    0.00    4.44   26.26    0.00    0.92    0.00    0.00    0.00   62.49
09:24:33 PM  all    2.18    0.00    1.69   23.72    0.00    0.85    0.00    0.00    0.00   71.56
09:24:34 PM  all   10.32    0.00    6.11   24.81    0.00    1.11    0.00    0.00    0.00   57.64
09:24:35 PM  all   31.93    0.00   14.05    7.74    0.04    3.73    0.00    0.00    0.00   42.51
09:24:36 PM  all   35.04    0.00   17.59    8.75    0.00    2.86    0.00    0.00    0.00   35.76
09:24:37 PM  all   49.42    0.00   23.84   10.86    0.04    4.54    0.00    0.00    0.00   11.29
09:24:38 PM  all   53.64    0.00   28.54    6.13    0.00    5.06    0.00    0.00    0.00    6.64
09:24:39 PM  all   46.84    0.00   17.20   16.98    0.00    3.74    0.00    0.00    0.00   15.24
09:24:40 PM  all   32.13    0.00   10.87   25.04    0.00    2.64    0.00    0.00    0.00   29.31
09:24:41 PM  all   10.14    0.00    4.85   45.62    0.00    1.21    0.00    0.00    0.00   38.17
09:24:42 PM  all    8.19    0.00    4.89   38.93    0.00    1.65    0.00    0.00    0.00   46.34
09:24:43 PM  all   36.12    0.00   14.54   22.53    0.00    2.98    0.00    0.00    0.00   23.82
09:24:44 PM  all   33.49    0.00   22.69   15.78    0.00    2.89    0.00    0.00    0.00   25.14
09:24:45 PM  all   41.34    0.00   15.83   14.69    0.00    3.61    0.00    0.00    0.00   24.54
09:24:46 PM  all   37.81    0.00   16.84   17.77    0.00    3.07    0.00    0.00    0.00   24.52
09:24:47 PM  all   13.47    0.00   10.09   33.22    0.04    1.23    0.00    0.00    0.00   41.95
09:24:48 PM  all   19.13    0.00    9.83   25.35    0.00    2.15    0.00    0.00    0.00   43.54
09:24:49 PM  all   22.71    0.00   11.44   24.79    0.00    2.08    0.00    0.00    0.00   38.97
09:24:50 PM  all    3.60    0.00    3.52   49.23    0.04    1.50    0.00    0.00    0.00   42.11
09:24:51 PM  all    6.01    0.00    3.89   52.77    0.00    0.95    0.00    0.00    0.00   36.39
09:24:52 PM  all    3.89    0.00    2.97   52.10    0.00    1.14    0.00    0.00    0.00   39.90
09:24:53 PM  all    5.95    0.00    4.73   41.25    0.00    1.43    0.00    0.00    0.00   46.63
09:24:54 PM  all   30.03    0.00   15.28   16.46    0.00    2.50    0.00    0.00    0.00   35.73
09:24:55 PM  all   38.18    0.00   14.86   12.35    0.00    3.31    0.00    0.00    0.00   31.31
09:24:56 PM  all   41.23    0.00   15.60   13.08    0.00    3.36    0.00    0.00    0.00   26.73
09:24:57 PM  all   24.29    0.00    9.67    4.63    0.00    2.64    0.00    0.00    0.00   58.77
09:24:58 PM  all   42.88    0.00   21.63   14.38    0.00    3.76    0.00    0.00    0.00   17.36
09:24:59 PM  all   50.15    0.00   22.96   12.62    0.00    3.66    0.00    0.00    0.00   10.60
09:25:00 PM  all   19.51    0.00    7.76   23.86    0.00    2.44    0.00    0.00    0.00   46.43
09:25:01 PM  all   38.77    0.00   16.32   18.03    0.04    3.42    0.00    0.00    0.00   23.42
09:25:02 PM  all   17.25    0.00    9.82   22.69    0.00    1.72    0.00    0.00    0.00   48.52
09:25:03 PM  all   32.29    0.00   18.56   19.57    0.04    2.30    0.00    0.00    0.00   27.24
