Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          10.07    0.00    3.56    2.08    0.00   84.29

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdm               0.00    31.00    0.00   58.00     0.00 61628.00  2125.10     7.79  133.38    0.00  133.38  17.24 100.00
sdo               0.00    14.00    0.00   43.00     0.00 31792.00  1478.70     4.35  101.21    0.00  101.21  19.81  85.20
sdn               0.00    13.00    0.00   61.00     0.00 50464.00  1654.56     6.65  110.43    0.00  110.43  16.26  99.20
sdp               0.00    24.00    0.00   78.00     0.00 60944.00  1562.67     7.68   99.54    0.00   99.54  12.77  99.60
sdr               0.00    18.00    1.00   60.00     4.00 48652.00  1595.28     6.72  109.97   60.00  110.80  16.33  99.60
sds               0.00    16.00    0.00   63.00     0.00 48888.00  1552.00     5.69   95.56    0.00   95.56  15.81  99.60
sdt               0.00    35.00    0.00   89.00     0.00 80572.00  1810.61     8.46  101.62    0.00  101.62  11.19  99.60
sdq               0.00    14.00    0.00   46.00     0.00 38420.00  1670.43     4.92   94.17    0.00   94.17  21.65  99.60
sdv               0.00    22.00    1.00   83.00     4.00 64000.00  1523.90     8.15   95.67  112.00   95.47  11.67  98.00
sdw               0.00    13.00    0.00   58.00     0.00 45448.00  1567.17     5.65   98.00    0.00   98.00  17.17  99.60
sdu               0.00     6.00    0.00   32.00     0.00 23208.00  1450.50     2.05   85.00    0.00   85.00  24.50  78.40
sdy               0.00     7.00    0.00   27.00     0.00 21908.00  1622.81     2.50   83.70    0.00   83.70  28.44  76.80
sdx               0.00    23.00    0.00   60.00     0.00 50472.00  1682.40     7.94  121.87    0.00  121.87  16.60  99.60
sdz               0.00    19.00    0.00   13.00     0.00   504.00    77.54     0.15   11.69    0.00   11.69  10.77  14.00
dm-0              0.00     0.00    0.00   32.00     0.00   504.00    31.50     0.36   11.38    0.00   11.38   4.38  14.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          52.60    0.00   27.01    7.87    0.00   12.52

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    10.00    0.00   42.00     0.00 31196.00  1485.52     4.52  117.24    0.00  117.24  23.81 100.00
sdb               0.00    20.00    0.00   71.00     0.00 53584.00  1509.41     8.45  121.97    0.00  121.97  14.08 100.00
sdc               0.00    14.00    0.00   51.00     0.00 40040.00  1570.20     5.77  125.18    0.00  125.18  19.61 100.00
sdd               0.00    21.00    0.00   70.00     0.00 54684.00  1562.40     8.29  118.97    0.00  118.97  14.29 100.00
