       p2p2       
 KB/s in  KB/s out
 2667.12   2540.56
       p2p2       
 KB/s in  KB/s out
 2514.90   2448.25
 2657.82   2524.04
 2545.86   2365.32
 2746.50   2354.00
 2687.44   2389.70
 2595.97   2427.69
 2722.19   2592.32
 2707.19   2372.71
 3223.14   2764.73
 2593.95   2397.11
 2927.50   2815.74
 2656.15   2745.38
 2810.67   2469.97
 2949.00   2410.34
 2699.51   2448.30
 2646.95   2632.42
 2723.75   2422.73
 2968.28   2695.12
 2640.49   2199.68
 2470.90   2312.09
 2265.59   2493.18
 2636.72   2569.47
       p2p2       
 KB/s in  KB/s out
 2544.43   2385.81
 1461.28   1018.83
  639.38    446.90
  753.53    622.31
  709.60    590.45
  607.10    465.72
  589.41    498.05
  434.13    391.90
  662.66    673.27
  543.98    548.64
  437.59    432.33
  346.81    347.00
  638.21    637.24
  547.41    549.31
  592.82    593.43
  343.28    343.13
  485.25    482.03
  568.35    567.02
  385.25    392.20
  290.82    292.36
  410.65    406.76
  502.85    501.25
       p2p2       
 KB/s in  KB/s out
  510.17    519.53
  481.21    476.74
  464.70    457.23
73540.04  44287.55
147622.5  92376.07
145496.2  97904.01
124020.4  71815.38
145537.2  99765.87
157400.4  110277.5
162062.0  113413.6
155427.6  91912.13
148746.7  110497.0
137905.0  78657.08
164345.5  96603.36
142085.3  111534.3
143153.5  92205.32
135902.0  83293.26
134041.0  83741.85
125989.0  81211.93
144949.0  95602.44
87187.91  57096.72
119176.7  86080.72
       p2p2       
 KB/s in  KB/s out
125680.8  84131.59
118818.2  85665.90
108091.8  77163.37
133569.8  84057.98
139903.9  91373.43
145922.9  100515.5
139555.9  84241.19
127957.6  95968.47
142681.6  91437.87
143355.7  86666.18
130913.4  99984.35
122673.5  74466.85
134282.0  105316.3
127014.9  77451.72
128344.2  80489.60
153797.1  100426.0
142543.2  78738.59
154400.7  94591.40
125648.6  80813.56
127183.9  85208.10
137654.4  93254.99
125644.6  84542.65
       p2p2       
 KB/s in  KB/s out
137343.9  90992.84
149070.7  96821.77
119966.0  85878.59
142558.4  75083.98
149617.7  93188.30
139965.9  88340.35
137358.7  102471.5
115777.0  80157.09
97664.47  58432.65
133812.7  89298.08
134091.5  78527.05
110536.7  66358.60
137360.5  84627.68
130579.5  79102.82
125883.2  95036.03
110601.6  66123.45
164562.0  114924.6
125640.2  79613.20
148067.2  80842.24
138398.3  121141.7
154261.8  105316.5
161188.0  105657.9
       p2p2       
 KB/s in  KB/s out
144716.7  101305.0
143916.6  106401.9
130264.0  90300.71
168614.6  110188.1
137333.4  94341.37
126056.1  82703.79
147798.4  97765.45
129855.7  93286.41
125160.5  73324.47
154080.2  96508.99
146389.8  93119.51
140735.4  95845.10
99279.64  73893.47
96524.11  60623.39
