       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1485.54   1489.18
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1474.59   1328.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00   1275.36   1148.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1276.56    868.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1827.34   1476.92
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1737.35   1766.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1521.91   1372.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1442.97    971.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1390.03    771.06
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1517.01   1403.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1451.26   1206.08
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1661.00   1526.52
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1448.75   1098.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1596.68   1208.58
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1443.14   1079.62
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1320.77   1045.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1691.74   1409.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1741.89   1237.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00   1343.17   1311.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1981.34   1750.72
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1360.79   1225.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1395.67   1363.09
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1423.07    584.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2029.84   1565.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1608.45   1436.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1798.17   1431.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   1439.89   1158.10
