Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w9-s2-1k-1t-1,write,1679,1679000,1,35.64,35.64,40,50,60,80,140,920,27.99,27986.13,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1)KB
w9-s3-1k-4t-1,write,7633,7633000,4,31.33,31.33,40,40,50,60,110,1020,127.26,127256.52,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1)KB
w9-s4-1k-16t-1,write,28408,28408000,16,33.7,33.7,40,50,50,70,130,1580,473.59,473589.35,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1)KB
w9-s5-1k-32t-1,write,58097,58097000,32,32.95,32.95,40,40,50,70,130,1060,968.54,968537.37,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1)KB
w9-s6-1k-64t-1,write,114430,114430000,64,33.47,33.47,40,50,50,70,130,2010,1907.98,1907975.94,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1)KB
w9-s7-1k-128t-1,write,197606,197606000,128,38.77,38.77,40,50,60,100,170,1230,3295.47,3295467.82,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1)KB
w9-s8-64k-1t-1,write,1290,82560000,1,46.41,46.02,50,60,70,90,150,580,21.5,1376068.8,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(64)KB
w9-s9-64k-4t-1,write,5357,342848000,4,44.67,44.3,50,60,70,80,130,1100,89.33,5716977.79,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(64)KB
w9-s10-64k-16t-1,write,20583,1317312000,16,46.54,46.21,50,60,70,90,150,1560,343.18,21963537.16,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(64)KB
w9-s11-64k-32t-1,write,43185,2763840000,32,44.36,44.04,50,60,70,80,130,1880,720.02,46081510.29,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(64)KB
w9-s12-64k-64t-1,write,85281,5457984000,64,44.94,44.64,50,60,60,80,130,1010,1421.98,91006997.98,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(64)KB
w9-s13-64k-128t-1,write,113074,7236736000,128,67.77,66.91,60,80,110,170,340,3170,1886.68,120747810.89,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(64)KB
w9-s14-1m-1t-1,write,545,558080000,1,109.68,100.33,100,120,150,190,380,1040,9.09,9306762.28,99.63%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1024)KB
w9-s15-1m-4t-1,write,2316,2371584000,4,103.19,95.23,100,120,150,190,280,1430,38.63,39557656.17,99.7%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1024)KB
w9-s16-1m-16t-1,write,7142,7313408000,16,134.14,104.54,110,160,300,340,430,1110,119.16,122016891.92,99.93%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1024)KB
w9-s17-1m-32t-1,write,7249,7422976000,32,257.03,105.26,210,370,560,740,1220,3180,121.22,124132425.86,94.17%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1024)KB
w9-s18-1m-64t-1,write,7118,7288832000,64,523.78,137.46,490,750,1040,1330,2010,4620,119.32,122182456.9,89.66%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1024)KB
