================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: M6E254653C8, driver: driver1 ----------------------------------
2015-11-07 14:23:16,929 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/32myobject
2015-11-07 14:23:16,951 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/33myobject
2015-11-07 14:23:16,980 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/34myobject
2015-11-07 14:23:17,086 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/35myobject
2015-11-07 14:23:17,103 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/36myobject
2015-11-07 14:23:17,142 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/37myobject
2015-11-07 14:23:17,157 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/38myobject
2015-11-07 14:23:17,187 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/39myobject
2015-11-07 14:23:17,228 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/40myobject
2015-11-07 14:23:17,243 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/41myobject
2015-11-07 14:23:17,260 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/42myobject
2015-11-07 14:23:17,277 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/43myobject
2015-11-07 14:23:17,293 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/44myobject
2015-11-07 14:23:17,311 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/45myobject
2015-11-07 14:23:17,323 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/46myobject
2015-11-07 14:23:17,338 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/47myobject
2015-11-07 14:23:17,364 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/48myobject
2015-11-07 14:23:17,381 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/49myobject
2015-11-07 14:23:17,395 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/50myobject
2015-11-07 14:23:17,433 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/51myobject
2015-11-07 14:23:17,448 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/52myobject
2015-11-07 14:23:17,464 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/53myobject
2015-11-07 14:23:17,481 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/54myobject
2015-11-07 14:23:17,497 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/55myobject
2015-11-07 14:23:17,510 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/56myobject
2015-11-07 14:23:17,525 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/57myobject
2015-11-07 14:23:17,557 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/58myobject
2015-11-07 14:23:17,584 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/59myobject
2015-11-07 14:23:17,598 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/60myobject
2015-11-07 14:23:17,630 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/61myobject
2015-11-07 14:23:17,646 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/62myobject
2015-11-07 14:23:17,662 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/63myobject
2015-11-07 14:23:17,682 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/64myobject
2015-11-07 14:23:17,697 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/65myobject
2015-11-07 14:23:17,714 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/66myobject
2015-11-07 14:23:17,734 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/67myobject
