Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:45:50,submitting @ 2015-11-07 11:45:48,authing @ 2015-11-07 11:45:48,launching @ 2015-11-07 11:45:48,running @ 2015-11-07 11:45:48,closing @ 2015-11-07 11:46:18,completed @ 2015-11-07 11:46:18
s12-64k-64t,write,write,85281,5457984000,44.94,44.64,50,60,60,80,130,1010,1421.98,91006997.98,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:56:26,submitting @ 2015-11-07 11:56:24,authing @ 2015-11-07 11:56:24,launching @ 2015-11-07 11:56:24,running @ 2015-11-07 11:56:24,closing @ 2015-11-07 11:57:24,completed @ 2015-11-07 11:57:24
s13-64k-128t,write,write,113074,7236736000,67.77,66.91,60,80,110,170,340,3170,1886.68,120747810.89,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:57:26,submitting @ 2015-11-07 11:57:24,authing @ 2015-11-07 11:57:24,launching @ 2015-11-07 11:57:24,running @ 2015-11-07 11:57:24,closing @ 2015-11-07 11:58:29,completed @ 2015-11-07 11:58:29
s14-1m-1t,write,write,545,558080000,109.68,100.33,100,120,150,190,380,1040,9.09,9306762.28,99.63%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:58:31,submitting @ 2015-11-07 11:58:29,authing @ 2015-11-07 11:58:29,launching @ 2015-11-07 11:58:29,running @ 2015-11-07 11:58:29,closing @ 2015-11-07 11:59:29,completed @ 2015-11-07 11:59:29
s15-1m-4t,write,write,2316,2371584000,103.19,95.23,100,120,150,190,280,1430,38.63,39557656.17,99.7%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:59:31,submitting @ 2015-11-07 11:59:29,authing @ 2015-11-07 11:59:29,launching @ 2015-11-07 11:59:29,running @ 2015-11-07 11:59:29,closing @ 2015-11-07 12:00:29,completed @ 2015-11-07 12:00:29
s16-1m-16t,write,write,7142,7313408000,134.14,104.54,110,160,300,340,430,1110,119.16,122016891.92,99.93%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:00:31,submitting @ 2015-11-07 12:00:29,authing @ 2015-11-07 12:00:29,launching @ 2015-11-07 12:00:29,running @ 2015-11-07 12:00:29,closing @ 2015-11-07 12:01:34,completed @ 2015-11-07 12:01:34
s17-1m-32t,write,write,7249,7422976000,257.03,105.26,210,370,560,740,1220,3180,121.22,124132425.86,94.17%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:01:36,submitting @ 2015-11-07 12:01:34,authing @ 2015-11-07 12:01:34,launching @ 2015-11-07 12:01:34,running @ 2015-11-07 12:01:34,closing @ 2015-11-07 12:02:39,completed @ 2015-11-07 12:02:39
s18-1m-64t,write,write,7118,7288832000,523.78,137.46,490,750,1040,1330,2010,4620,119.32,122182456.9,89.66%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:02:41,submitting @ 2015-11-07 12:02:39,authing @ 2015-11-07 12:02:39,launching @ 2015-11-07 12:02:39,running @ 2015-11-07 12:02:39,closing @ 2015-11-07 12:03:44,completed @ 2015-11-07 12:03:44
s19-1m-128t,write,write,7089,7259136000,1067.06,220.69,1070,1570,2010,2480,3730,15240,119.84,122717324.84,99.52%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:03:46,submitting @ 2015-11-07 12:03:44,authing @ 2015-11-07 12:03:44,launching @ 2015-11-07 12:03:44,running @ 2015-11-07 12:03:44,closing @ 2015-11-07 12:04:49,completed @ 2015-11-07 12:04:49
s20-16m-1t,write,write,85,1392640000,695.11,470.11,660,780,960,1180,1760,2210,1.43,23365266.85,93.41%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:04:51,submitting @ 2015-11-07 12:04:50,authing @ 2015-11-07 12:04:50,launching @ 2015-11-07 12:04:50,running @ 2015-11-07 12:04:50,closing @ 2015-11-07 12:05:55,completed @ 2015-11-07 12:05:55
s21-16m-4t,write,write,372,6094848000,636.56,413.78,630,710,820,930,1560,2090,6.25,102434745.11,95.38%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:05:57,submitting @ 2015-11-07 12:05:55,authing @ 2015-11-07 12:05:55,launching @ 2015-11-07 12:05:55,running @ 2015-11-07 12:05:55,closing @ 2015-11-07 12:06:55,completed @ 2015-11-07 12:06:55
s22-16m-16t,write,write,447,7323648000,2097.49,136.32,2170,2830,3360,3730,4550,5090,7.61,124716949.55,95.92%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:06:57,submitting @ 2015-11-07 12:06:55,authing @ 2015-11-07 12:06:55,launching @ 2015-11-07 12:06:55,running @ 2015-11-07 12:06:55,closing @ 2015-11-07 12:08:00,completed @ 2015-11-07 12:08:00
s23-16m-32t,write,write,431,7061504000,4230.54,153.47,4580,5620,6540,7050,8040,8700,7.56,123818398.11,97.51%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:08:02,submitting @ 2015-11-07 12:08:00,authing @ 2015-11-07 12:08:00,launching @ 2015-11-07 12:08:00,running @ 2015-11-07 12:08:00,closing @ 2015-11-07 12:09:05,completed @ 2015-11-07 12:09:05
s24-16m-64t,write,write,413,6766592000,8445.78,197.67,8680,11350,13720,15140,16640,20840,7.52,123170907.37,98.57%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:09:07,submitting @ 2015-11-07 12:09:05,authing @ 2015-11-07 12:09:05,launching @ 2015-11-07 12:09:05,running @ 2015-11-07 12:09:05,closing @ 2015-11-07 12:10:10,completed @ 2015-11-07 12:10:10
s25-16m-128t,write,write,381,6242304000,16710.85,210.57,17770,20810,22420,23650,27070,29490,7.68,125793310.38,99.74%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:10:12,submitting @ 2015-11-07 12:10:10,authing @ 2015-11-07 12:10:10,launching @ 2015-11-07 12:10:10,running @ 2015-11-07 12:10:10,closing @ 2015-11-07 12:11:35,completed @ 2015-11-07 12:11:35
s26-64m-1t,write,write,24,1572864000,2422.46,624.63,2430,2890,3020,3180,3760,4180,0.41,27053044.38,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:11:37,submitting @ 2015-11-07 12:11:35,authing @ 2015-11-07 12:11:35,launching @ 2015-11-07 12:11:35,running @ 2015-11-07 12:11:35,closing @ 2015-11-07 12:12:35,completed @ 2015-11-07 12:12:35
s27-64m-4t,write,write,104,6815744000,2273.61,523.01,2310,2690,2910,3090,3540,3960,1.76,115079745.39,97.2%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:12:37,submitting @ 2015-11-07 12:12:35,authing @ 2015-11-07 12:12:35,launching @ 2015-11-07 12:12:35,running @ 2015-11-07 12:12:35,closing @ 2015-11-07 12:13:40,completed @ 2015-11-07 12:13:40
s28-64m-16t,write,write,107,7012352000,8374.34,169.91,8890,11140,12560,14370,14890,17350,1.91,125438558.25,99.07%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:13:42,submitting @ 2015-11-07 12:13:40,authing @ 2015-11-07 12:13:40,launching @ 2015-11-07 12:13:40,running @ 2015-11-07 12:13:40,closing @ 2015-11-07 12:14:50,completed @ 2015-11-07 12:14:50
s29-64m-32t,write,write,97,6356992000,16911.92,149.72,18750,20370,21240,21760,23430,23650,1.89,124142371.98,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:14:52,submitting @ 2015-11-07 12:14:50,authing @ 2015-11-07 12:14:50,launching @ 2015-11-07 12:14:50,running @ 2015-11-07 12:14:50,closing @ 2015-11-07 12:16:00,completed @ 2015-11-07 12:16:00
s30-64m-64t,write,write,82,5373952000,33483.6,142.18,35820,43950,47000,49100,51490,56190,1.94,127062107.38,98.8%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:16:02,submitting @ 2015-11-07 12:16:00,authing @ 2015-11-07 12:16:00,launching @ 2015-11-07 12:16:00,running @ 2015-11-07 12:16:00,closing @ 2015-11-07 12:17:20,completed @ 2015-11-07 12:17:20
s31-64m-128t,write,write,16,1048576000,56730.5,153.56,57350,58930,59140,59780,59780,59990,0.28,18552184.36,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 12:17:22,submitting @ 2015-11-07 12:17:20,authing @ 2015-11-07 12:17:20,launching @ 2015-11-07 12:17:20,running @ 2015-11-07 12:17:20,closing @ 2015-11-07 12:18:40,completed @ 2015-11-07 12:18:40
