================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: M0E1EF1BEB4, driver: driver1 ----------------------------------
2015-11-07 12:32:37,726 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/52myobject
2015-11-07 12:32:37,748 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/53myobject
2015-11-07 12:32:37,769 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/54myobject
2015-11-07 12:32:37,790 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/55myobject
2015-11-07 12:32:37,804 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/56myobject
2015-11-07 12:32:37,821 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/57myobject
2015-11-07 12:32:38,057 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/58myobject
2015-11-07 12:32:38,072 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/59myobject
2015-11-07 12:32:38,085 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/60myobject
2015-11-07 12:32:38,102 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/61myobject
2015-11-07 12:32:38,115 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/62myobject
2015-11-07 12:32:38,130 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/63myobject
2015-11-07 12:32:38,143 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/64myobject
2015-11-07 12:32:38,160 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/65myobject
2015-11-07 12:32:38,178 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/66myobject
2015-11-07 12:32:38,191 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/67myobject
2015-11-07 12:32:38,205 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/68myobject
2015-11-07 12:32:38,220 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/69myobject
2015-11-07 12:32:38,236 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/70myobject
2015-11-07 12:32:38,250 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/71myobject
2015-11-07 12:32:38,264 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/72myobject
2015-11-07 12:32:38,280 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/73myobject
2015-11-07 12:32:38,295 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/74myobject
2015-11-07 12:32:38,329 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/75myobject
2015-11-07 12:32:38,346 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/76myobject
2015-11-07 12:32:38,361 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/77myobject
2015-11-07 12:32:38,373 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/78myobject
2015-11-07 12:32:38,389 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/79myobject
2015-11-07 12:32:38,402 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/80myobject
2015-11-07 12:32:38,423 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/81myobject
2015-11-07 12:32:38,439 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/82myobject
2015-11-07 12:32:38,454 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/83myobject
2015-11-07 12:32:38,470 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/84myobject
2015-11-07 12:32:38,486 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/85myobject
2015-11-07 12:32:38,502 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/86myobject
2015-11-07 12:32:38,520 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/87myobject
2015-11-07 12:32:38,532 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/88myobject
2015-11-07 12:32:38,546 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/89myobject
2015-11-07 12:32:38,561 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/90myobject
2015-11-07 12:32:38,577 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/91myobject
2015-11-07 12:32:38,596 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/92myobject
2015-11-07 12:32:38,612 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/93myobject
2015-11-07 12:32:38,625 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/94myobject
2015-11-07 12:32:38,639 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/95myobject
2015-11-07 12:32:38,651 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/96myobject
2015-11-07 12:32:38,665 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/97myobject
2015-11-07 12:32:38,679 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/98myobject
2015-11-07 12:32:38,694 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/99myobject
2015-11-07 12:32:38,768 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/100myobject
2015-11-07 12:32:38,782 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/1myobject
2015-11-07 12:32:38,810 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/2myobject
2015-11-07 12:32:38,827 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/3myobject
2015-11-07 12:32:38,843 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/4myobject
2015-11-07 12:32:38,857 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/5myobject
2015-11-07 12:32:38,869 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/6myobject
2015-11-07 12:32:38,884 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/7myobject
2015-11-07 12:32:38,900 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/8myobject
2015-11-07 12:32:38,915 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/9myobject
2015-11-07 12:32:38,930 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/10myobject
2015-11-07 12:32:39,020 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/11myobject
2015-11-07 12:32:39,033 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/12myobject
2015-11-07 12:32:39,056 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/13myobject
2015-11-07 12:32:39,074 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/14myobject
2015-11-07 12:32:39,097 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/15myobject
2015-11-07 12:32:39,112 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/16myobject
2015-11-07 12:32:39,128 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/17myobject
2015-11-07 12:32:39,145 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/18myobject
2015-11-07 12:32:39,160 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/19myobject
2015-11-07 12:32:39,183 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/20myobject
2015-11-07 12:32:39,208 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/21myobject
2015-11-07 12:32:39,224 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/22myobject
2015-11-07 12:32:39,238 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/23myobject
2015-11-07 12:32:39,253 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/24myobject
2015-11-07 12:32:39,270 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/25myobject
2015-11-07 12:32:39,285 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/26myobject
2015-11-07 12:32:39,300 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/27myobject
2015-11-07 12:32:39,317 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/28myobject
2015-11-07 12:32:39,337 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/29myobject
2015-11-07 12:32:39,356 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/30myobject
2015-11-07 12:32:39,370 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/31myobject
2015-11-07 12:32:39,383 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/32myobject
2015-11-07 12:32:39,399 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/33myobject
2015-11-07 12:32:39,414 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/34myobject
2015-11-07 12:32:39,428 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/35myobject
2015-11-07 12:32:39,446 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/36myobject
2015-11-07 12:32:39,463 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/37myobject
2015-11-07 12:32:39,475 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/38myobject
2015-11-07 12:32:39,495 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/39myobject
2015-11-07 12:32:39,513 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/40myobject
2015-11-07 12:32:39,531 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/41myobject
2015-11-07 12:32:39,546 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/42myobject
2015-11-07 12:32:39,561 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/43myobject
2015-11-07 12:32:39,580 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/44myobject
2015-11-07 12:32:39,597 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/45myobject
2015-11-07 12:32:39,614 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/46myobject
2015-11-07 12:32:39,649 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/47myobject
2015-11-07 12:32:39,665 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/48myobject
2015-11-07 12:32:39,678 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/49myobject
2015-11-07 12:32:39,696 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/50myobject
2015-11-07 12:32:39,713 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/51myobject
2015-11-07 12:32:39,728 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/52myobject
2015-11-07 12:32:39,744 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/53myobject
2015-11-07 12:32:39,760 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/54myobject
2015-11-07 12:32:39,785 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/55myobject
2015-11-07 12:32:39,803 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/56myobject
2015-11-07 12:32:39,816 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/57myobject
2015-11-07 12:32:39,834 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/58myobject
2015-11-07 12:32:39,847 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/59myobject
2015-11-07 12:32:39,860 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/60myobject
2015-11-07 12:32:39,896 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/61myobject
2015-11-07 12:32:39,912 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/62myobject
2015-11-07 12:32:39,948 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/63myobject
2015-11-07 12:32:39,963 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/64myobject
2015-11-07 12:32:39,980 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/65myobject
2015-11-07 12:32:39,995 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/66myobject
2015-11-07 12:32:40,012 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/67myobject
2015-11-07 12:32:40,025 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/68myobject
2015-11-07 12:32:40,043 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/69myobject
2015-11-07 12:32:40,057 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/70myobject
2015-11-07 12:32:40,073 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/71myobject
2015-11-07 12:32:40,087 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/72myobject
2015-11-07 12:32:40,104 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/73myobject
2015-11-07 12:32:40,119 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/74myobject
