================================================== stage: s1-init ==================================================
---------------------------------- mission: MDE1FCE4AB7, driver: driver1 ----------------------------------
2015-11-07 12:48:10,294 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/4myobject
2015-11-07 12:48:10,324 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/5myobject
2015-11-07 12:48:10,360 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/6myobject
2015-11-07 12:48:10,403 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/7myobject
2015-11-07 12:48:10,457 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/8myobject
2015-11-07 12:48:10,481 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/9myobject
2015-11-07 12:48:10,502 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/10myobject
2015-11-07 12:48:10,524 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/1myobject
2015-11-07 12:48:10,544 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/2myobject
2015-11-07 12:48:10,570 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/3myobject
2015-11-07 12:48:10,598 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/4myobject
2015-11-07 12:48:10,621 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/5myobject
2015-11-07 12:48:10,650 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/6myobject
2015-11-07 12:48:10,673 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/7myobject
2015-11-07 12:48:10,694 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/8myobject
2015-11-07 12:48:10,717 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/9myobject
2015-11-07 12:48:10,748 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/10myobject
2015-11-07 12:48:10,766 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/1myobject
2015-11-07 12:48:10,797 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/2myobject
2015-11-07 12:48:10,817 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/3myobject
2015-11-07 12:48:10,849 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/4myobject
2015-11-07 12:48:10,877 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/5myobject
2015-11-07 12:48:10,919 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/6myobject
2015-11-07 12:48:10,956 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/7myobject
2015-11-07 12:48:10,992 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/8myobject
2015-11-07 12:48:11,046 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/9myobject
2015-11-07 12:48:11,071 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/10myobject
2015-11-07 12:48:11,114 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/1myobject
2015-11-07 12:48:11,136 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/2myobject
2015-11-07 12:48:11,162 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/3myobject
2015-11-07 12:48:11,199 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/4myobject
2015-11-07 12:48:11,221 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/5myobject
2015-11-07 12:48:11,257 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/6myobject
2015-11-07 12:48:11,277 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/7myobject
2015-11-07 12:48:11,319 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/8myobject
2015-11-07 12:48:11,344 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/9myobject
2015-11-07 12:48:11,386 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/10myobject
2015-11-07 12:48:11,409 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/1myobject
2015-11-07 12:48:11,432 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/2myobject
2015-11-07 12:48:11,460 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/3myobject
2015-11-07 12:48:11,498 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/4myobject
2015-11-07 12:48:11,518 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/5myobject
2015-11-07 12:48:11,541 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/6myobject
