Linux 3.13.0-63-generic (dss-storage-3) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          10.13    0.00    3.70    1.76    0.00   84.41

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdd               0.00     0.00    1.00  182.00     8.00 53736.00   587.37     9.23   59.41  976.00   54.37   5.46 100.00
sde               0.00     0.00    0.00  167.00     0.00 55524.00   664.96     4.79   28.02    0.00   28.02   5.27  88.00
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00  283.00     0.00 97848.00   691.51     7.60   24.42    0.00   24.42   3.51  99.20
sdg               0.00     0.00    0.00  183.00     0.00 59204.00   647.04     8.76   41.84    0.00   41.84   5.46 100.00
sdi               0.00     1.00    0.00  230.00     0.00 79940.00   695.13     6.63   30.47    0.00   30.47   3.84  88.40
sdj               0.00     0.00    0.00  158.00     0.00 52456.00   664.00     7.63   42.18    0.00   42.18   6.28  99.20
sdk               0.00     0.00    0.00  193.00     0.00 67080.00   695.13     3.94   20.48    0.00   20.48   3.75  72.40
sdl               0.00     0.00    0.00  253.00     0.00 90956.00   719.02     7.22   27.48    0.00   27.48   3.87  98.00
sdm               0.00     0.00    0.00  146.00     0.00 48304.00   661.70     6.54   40.33    0.00   40.33   6.79  99.20
sdh               0.00     0.00    0.00  291.00     0.00 100624.00   691.57     8.13   25.70    0.00   25.70   3.40  98.80
sdn               0.00     0.00    0.00  192.00     0.00 65544.00   682.75    11.65   47.67    0.00   47.67   5.21 100.00
sdp               0.00     0.00    0.00  225.00     0.00 76328.00   678.47     5.32   23.36    0.00   23.36   3.95  88.80
sdq               0.00     0.00    0.00  119.00     0.00 45324.00   761.75     4.60   49.38    0.00   49.38   6.39  76.00
sdr               0.00     0.00    0.00  113.00     0.00 36152.00   639.86     1.26   11.15    0.00   11.15   3.22  36.40
sds               0.00     0.00    0.00  224.00     0.00 67664.00   604.14     8.70   37.54    0.00   37.54   4.46 100.00
sdt               0.00     0.00    0.00  131.00     0.00 48388.00   738.75     7.14   46.41    0.00   46.41   7.57  99.20
sdu               0.00     0.00    0.00  156.00     0.00 54140.00   694.10     4.67   28.97    0.00   28.97   6.08  94.80
sdw               0.00     7.00    0.00  215.00     0.00 73988.00   688.26    24.94  121.97    0.00  121.97   4.65 100.00
sdv               0.00     0.00    0.00  194.00     0.00 66164.00   682.10    13.72   68.60    0.00   68.60   5.09  98.80
sdx               0.00     0.00    1.00  291.00     8.00 99600.00   682.25     7.67   24.62  148.00   24.19   3.41  99.60
sdy               0.00     0.00    0.00  167.00     0.00 60080.00   719.52     7.35   46.37    0.00   46.37   5.92  98.80
sdo               0.00     0.00    0.00  164.00     0.00 55444.00   676.15     7.26   43.68    0.00   43.68   6.05  99.20
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          26.46    0.00   18.05   25.97    0.00   29.52

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00  175.00     0.00 63132.00   721.51     6.73   41.67    0.00   41.67   5.39  94.40
sdc               0.00     0.00    0.00  133.00     0.00 43852.00   659.43     7.20   55.82    0.00   55.82   7.49  99.60
sdd               0.00     0.00    0.00  155.00     0.00 51284.00   661.73    12.17   76.23    0.00   76.23   6.45 100.00
sde               0.00     0.00    0.00   59.00     0.00 20860.00   707.12     3.68   64.34    0.00   64.34   9.69  57.20
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00     1.00    0.00  122.00     0.00 38476.00   630.75     7.13   62.89    0.00   62.89   8.20 100.00
sdg               0.00     1.00    2.00  165.00    16.00 61072.00   731.59    60.64   91.28  164.00   90.40   5.99 100.00
sdi               0.00     1.00    0.00  116.00     0.00 39500.00   681.03     5.14   44.31    0.00   44.31   6.62  76.80
sdj               0.00     0.00    0.00  172.00     0.00 71512.00   831.53    99.92  153.56    0.00  153.56   5.81 100.00
sdk               0.00     0.00    0.00  108.00     0.00 32588.00   603.48     1.99   16.52    0.00   16.52   4.44  48.00
sdl               0.00     0.00    0.00  154.00     0.00 53344.00   692.78     5.54   39.84    0.00   39.84   5.09  78.40
sdm               0.00     0.00    0.00  152.00     0.00 48944.00   644.00    11.23   66.26    0.00   66.26   6.58 100.00
sdh               0.00     0.00    0.00  186.00     0.00 69580.00   748.17     9.58   53.16    0.00   53.16   5.31  98.80
sdn               0.00     1.00    0.00  177.00     0.00 76012.00   858.89   122.02  276.25    0.00  276.25   5.65 100.00
sdp               0.00     1.00    1.00  170.00     8.00 59896.00   700.63     7.28   44.16   76.00   43.98   5.40  92.40
sdq               0.00     0.00    0.00  108.00     0.00 32864.00   608.59     4.70   37.41    0.00   37.41   5.52  59.60
sdr               0.00     0.00    2.00  118.00    16.00 38740.00   645.93     3.89   31.27   34.00   31.22   4.17  50.00
sds               0.00     0.00    0.00  111.00     0.00 43208.00   778.52     7.00   70.31    0.00   70.31   8.83  98.00
sdt               0.00     0.00    0.00  147.00     0.00 49360.00   671.56     9.36   72.93    0.00   72.93   6.75  99.20
sdu               0.00     0.00    1.00   85.00     8.00 29880.00   695.07     2.99   37.58   44.00   37.51   8.00  68.80
sdw               0.00     0.00    0.00  158.00     0.00 62472.00   790.78    46.02  254.03    0.00  254.03   6.33 100.00
sdv               0.00     0.00    1.00  111.00     8.00 38324.00   684.50    11.70  134.79   16.00  135.86   8.93 100.00
sdx               0.00     0.00    2.00  184.00    16.00 69036.00   742.49     8.53   46.75    2.00   47.24   5.35  99.60
sdy               0.00     0.00    0.00  104.00     0.00 41104.00   790.46     5.17   51.12    0.00   51.12   9.58  99.60
sdo               0.00     0.00    0.00  106.00     0.00 34844.00   657.43     7.00   73.74    0.00   73.74   9.43 100.00
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          24.03    0.00   17.79   25.55    0.00   32.62

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    1.00   53.00     8.00 18056.00   669.04     0.90   16.96   24.00   16.83   5.19  28.00
sdc               0.00     1.00    1.00  136.00     8.00 58480.00   853.84    30.90   83.82  100.00   83.71   7.24  99.20
sdd               0.00     0.00    0.00  166.00     0.00 59064.00   711.61     8.00   53.18    0.00   53.18   5.98  99.20
sde               0.00     0.00    0.00   98.00     0.00 33024.00   673.96     2.56   26.12    0.00   26.12   5.47  53.60
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00     1.00    0.00  107.00     0.00 38856.00   726.28     2.95   28.49    0.00   28.49   4.86  52.00
sdg               0.00     0.00    0.00  132.00     0.00 65616.00   994.18   136.05  757.55    0.00  757.55   7.58 100.00
sdi               0.00     0.00    0.00  149.00     0.00 49796.00   668.40     2.64   17.72    0.00   17.72   3.76  56.00
sdj               0.00     0.00    0.00  134.00     0.00 63888.00   953.55   122.36  912.90    0.00  912.90   7.46 100.00
sdk               0.00     0.00    0.00  176.00     0.00 71040.00   807.27    13.64   78.64    0.00   78.64   3.80  66.80
sdl               0.00     0.00    0.00  172.00     0.00 53996.00   627.86     3.24   17.77    0.00   17.77   3.98  68.40
sdm               0.00     0.00    0.00  163.00     0.00 57616.00   706.94    10.78   78.87    0.00   78.87   6.11  99.60
sdh               0.00     0.00    1.00  112.00     8.00 42684.00   755.61     2.38   24.85  152.00   23.71   4.74  53.60
sdn               0.00     0.00    0.00  127.00     0.00 59984.00   944.63    52.06  984.82    0.00  984.82   7.87 100.00
sdp               0.00     3.00    0.00  278.00     0.00 99512.00   715.91     7.49   27.14    0.00   27.14   3.55  98.80
sdq               0.00     0.00    0.00   72.00     0.00 26764.00   743.44     1.81   34.39    0.00   34.39   5.67  40.80
sdr               0.00     0.00    0.00  158.00     0.00 64888.00   821.37    18.38   97.67    0.00   97.67   4.23  66.80
sds               0.00     0.00    0.00  128.00     0.00 51152.00   799.25     6.12   47.81    0.00   47.81   7.62  97.60
sdt               0.00     0.00    0.00  128.00     0.00 47896.00   748.38     7.54   58.41    0.00   58.41   7.78  99.60
sdu               0.00     0.00    0.00   24.00     0.00  8504.00   708.67     1.11   47.67    0.00   47.67  11.67  28.00
sdw               0.00    48.00    2.00  373.00    16.00 51864.50   276.70     7.35   59.19  100.00   58.97   2.58  96.80
sdv               0.00     0.00    1.00  171.00     8.00 55256.00   642.60     7.20   41.14   72.00   40.96   5.67  97.60
sdx               0.00     0.00    1.00  225.00     8.00 80128.00   709.17     5.86   27.56    0.00   27.68   3.45  78.00
sdy               0.00     0.00    0.00   95.00     0.00 33000.00   694.74     1.82   20.25    0.00   20.25   4.97  47.20
sdo               0.00     0.00    0.00  110.00     0.00 41664.00   757.53     3.22   32.69    0.00   32.69   6.55  72.00
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          33.71    0.00   23.79   16.02    0.00   26.47

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     1.00    0.00  177.00     0.00 68424.00   773.15    14.53   67.82    0.00   67.82   3.98  70.40
sdc               0.00     0.00    0.00  153.00     0.00 63056.00   824.26    26.60  297.46    0.00  297.46   6.54 100.00
sdd               0.00     0.00    0.00  189.00     0.00 56124.00   593.90    11.49   37.25    0.00   37.25   5.25  99.20
sde               0.00     0.00    1.00  115.00     8.00 32900.00   567.38     3.62   22.90   16.00   22.96   5.21  60.40
sda               0.00     8.00    0.00    3.00     0.00    44.00    29.33     0.00    1.33    0.00    1.33   1.33   0.40
sdf               0.00     0.00    0.00  164.00     0.00 56784.00   692.49     4.46   26.68    0.00   26.68   4.37  71.60
sdg               0.00     0.00    3.00  140.00    24.00 61080.00   854.60    49.14  893.17  622.67  898.97   6.99 100.00
sdi               0.00     2.00    0.00  118.00     0.00 38192.00   647.32     1.65   14.00    0.00   14.00   3.69  43.60
sdj               0.00     0.00    0.00  149.00     0.00 60932.00   817.88    33.33  718.79    0.00  718.79   6.71 100.00
sdk               0.00     0.00    1.00   73.00     8.00 17708.00   478.81     0.42    5.73   12.00    5.64   3.14  23.20
sdl               0.00     1.00    0.00  139.00     0.00 47948.00   689.90     2.12   16.72    0.00   16.72   3.80  52.80
sdm               0.00     0.00    0.00  143.00     0.00 48780.00   682.24     7.37   50.66    0.00   50.66   6.97  99.60
sdh               0.00     2.00    0.00  188.00     0.00 66508.00   707.53    11.09   23.83    0.00   23.83   3.87  72.80
sdn               0.00     6.00    1.00  197.00     8.00 68408.00   691.07    23.36  132.99  188.00  132.71   5.05 100.00
sdp               0.00     0.00    0.00  184.00     0.00 63712.00   692.52     4.59   26.17    0.00   26.17   4.41  81.20
sdq               0.00     0.00    0.00  107.00     0.00 33564.00   627.36     2.76   25.79    0.00   25.79   5.57  59.60
sdr               0.00     2.00    2.00  144.00    12.00 45660.00   625.64     3.16   42.77   34.00   42.89   3.86  56.40
sds               0.00     0.00    0.00   56.00     0.00 21336.00   762.00     1.93   34.00    0.00   34.00   7.29  40.80
sdt               0.00     0.00    0.00  119.00     0.00 41488.00   697.28     3.13   27.13    0.00   27.13   5.98  71.20
sdu               0.00     0.00    0.00  100.00     0.00 33028.00   660.56     1.93   19.32    0.00   19.32   5.00  50.00
sdw               0.00     0.00    0.00  113.00     0.00 38044.00   673.35     9.96   72.04    0.00   72.04   8.60  97.20
sdv               0.00     0.00    0.00  153.00     0.00 58372.00   763.03    11.74   79.03    0.00   79.03   6.43  98.40
sdx               0.00     0.00    0.00  189.00     0.00 63800.00   675.13     3.65   18.48    0.00   18.48   4.19  79.20
sdy               0.00     0.00    1.00  107.00     8.00 34588.00   640.67     2.01   18.63  176.00   17.16   5.19  56.00
sdo               0.00     0.00    0.00  117.00     0.00 36944.00   631.52     2.94   24.38    0.00   24.38   5.40  63.20
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          46.18    0.00   28.02   11.45    0.00   14.35

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     1.00    0.00  138.00     0.00 40220.00   582.90     1.79   31.25    0.00   31.25   3.51  48.40
sdc               0.00     0.00    2.00  120.00    16.00 32284.00   529.51     1.80   32.13   68.00   31.53   5.34  65.20
sdd               0.00     0.00    0.00  170.00     0.00 57460.00   676.00     9.94   84.75    0.00   84.75   5.86  99.60
sde               0.00     0.00    0.00  143.00     0.00 48036.00   671.83     4.99   38.71    0.00   38.71   5.62  80.40
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00  130.00     0.00 44096.00   678.40     2.60   21.08    0.00   21.08   4.22  54.80
sdg               0.00     0.00    0.00  215.00     0.00 69288.00   644.54    14.22   51.98    0.00   51.98   4.65 100.00
sdi               0.00     1.00    0.00  146.00     0.00 47520.00   650.96     2.46   15.84    0.00   15.84   4.14  60.40
sdj               0.00     6.00    0.00  197.00     0.00 73456.00   745.75    30.66  120.06    0.00  120.06   5.08 100.00
sdk               0.00     1.00    0.00  196.00     0.00 58280.00   594.69     3.43   16.37    0.00   16.37   3.06  60.00
sdl               0.00     1.00    0.00  239.00     0.00 84680.00   708.62     5.28   20.79    0.00   20.79   3.72  88.80
sdm               0.00     0.00    1.00  155.00     4.00 55120.00   706.72     5.72   39.54    8.00   39.74   6.33  98.80
sdh               0.00     1.00    0.00  156.00     0.00 56944.00   730.05    13.97  131.97    0.00  131.97   4.56  71.20
sdn               0.00     2.00    0.00  232.00     0.00 74388.00   641.28     9.46   31.29    0.00   31.29   4.33 100.40
sdp               0.00     4.00    0.00  184.00     0.00 71940.00   781.96    17.54   94.85    0.00   94.85   4.57  84.00
sdq               0.00     0.00    0.00  111.00     0.00 36700.00   661.26     2.66   22.41    0.00   22.41   4.90  54.40
sdr               0.00     3.00    0.00  177.00     0.00 55040.00   621.92     2.77   15.55    0.00   15.55   3.89  68.80
sds               0.00     0.00    0.00  170.00     0.00 56804.00   668.28     6.19   34.09    0.00   34.09   5.84  99.20
sdt               0.00    90.00    3.00  482.00    24.00 50836.50   209.73     5.17    9.92   66.67    9.57   1.86  90.00
sdu               0.00     1.00    1.00  136.00     8.00 42932.00   626.86     2.80   18.42   28.00   18.35   4.73  64.80
sdw               0.00     1.00    0.00  168.00     0.00 60696.00   722.57    10.23   68.62    0.00   68.62   5.98 100.40
sdv               0.00     0.00    0.00  156.00     0.00 52896.00   678.15     6.47   36.85    0.00   36.85   6.36  99.20
sdx               0.00     3.00    0.00  212.00     0.00 70080.00   661.13     4.93   20.42    0.00   20.42   3.81  80.80
sdy               0.00     0.00    0.00   67.00     0.00 21688.00   647.40     0.95   12.78    0.00   12.78   4.00  26.80
sdo               0.00    79.00    0.00  476.00     0.00 54597.50   229.40     5.34   10.91    0.00   10.91   1.88  89.60
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          33.54    0.00   21.96   19.60    0.00   24.90

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     2.00    2.00  199.00    16.00 61260.00   609.71     2.81   13.11   44.00   12.80   3.20  64.40
sdc               0.00     3.00    0.00  130.00     0.00 40036.00   615.94     3.60   23.35    0.00   23.35   6.00  78.00
sdd               0.00     0.00    0.00  162.00     0.00 50212.00   619.90     8.84   49.58    0.00   49.58   6.12  99.20
sde               0.00     0.00    0.00  109.00     0.00 35848.00   657.76     3.90   37.47    0.00   37.47   7.71  84.00
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00  131.00     0.00 43104.00   658.08     1.84   13.95    0.00   13.95   3.11  40.80
sdg               0.00     1.00    3.00  179.00    24.00 74036.00   813.85    55.37  223.76  500.00  219.13   5.49 100.00
sdi               0.00     1.00    0.00  183.00     0.00 61892.00   676.42     3.40   19.39    0.00   19.39   3.72  68.00
sdj               0.00     0.00    0.00  170.00     0.00 58676.00   690.31    11.58  109.60    0.00  109.60   5.88 100.00
sdk               0.00     0.00    2.00  214.00    16.00 71480.00   662.00     3.65   17.22   38.00   17.03   2.98  64.40
sdl               0.00     1.00    0.00  161.00     0.00 63280.00   786.09    13.33   57.49    0.00   57.49   4.52  72.80
sdm               0.00     0.00    0.00  122.00     0.00 50064.00   820.72     4.51   37.44    0.00   37.44   6.72  82.00
sdh               0.00     0.00    0.00   65.00     0.00 16648.00   512.25     0.26    4.06    0.00    4.06   2.58  16.80
sdn               0.00     2.00    0.00  146.00     0.00 44880.00   614.79     8.82   69.12    0.00   69.12   6.82  99.60
sdp               0.00     0.00    0.00   84.00     0.00 20304.00   483.43     0.84   10.90    0.00   10.90   3.90  32.80
sdq               0.00     0.00    0.00   95.00     0.00 30696.00   646.23     3.08   32.38    0.00   32.38   6.82  64.80
sdr               0.00     0.00    0.00  164.00     0.00 55720.00   679.51     2.64   16.27    0.00   16.27   3.39  55.60
sds               0.00     0.00    0.00  185.00     0.00 64132.00   693.32     5.90   33.56    0.00   33.56   4.91  90.80
sdt               0.00     1.00    0.00  118.00     0.00 41256.00   699.25     2.64   25.39    0.00   25.39   5.12  60.40
sdu               0.00     0.00    0.00  145.00     0.00 50572.00   697.54     6.50   45.52    0.00   45.52   6.73  97.60
sdw               0.00     0.00    0.00  107.00     0.00 37412.00   699.29     9.73   76.75    0.00   76.75   9.27  99.20
sdv               0.00     0.00    0.00  142.00     0.00 48524.00   683.44     7.67   59.49    0.00   59.49   6.99  99.20
sdx               0.00     3.00    0.00  199.00     0.00 68368.00   687.12    17.34   90.91    0.00   90.91   3.58  71.20
sdy               0.00     0.00    0.00   92.00     0.00 30196.00   656.43     1.43   16.57    0.00   16.57   5.04  46.40
sdo               0.00     0.00    0.00   76.00     0.00 25016.00   658.32     1.82   27.16    0.00   27.16   6.16  46.80
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          13.86    0.00   10.24   24.54    0.00   51.37

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00  101.00     0.00 35284.00   698.69     1.52   16.87    0.00   16.87   3.52  35.60
sdc               0.00     0.00    0.00   84.00     0.00 30416.00   724.19     4.05   53.67    0.00   53.67   9.19  77.20
sdd               0.00     0.00    0.00  114.00     0.00 48260.00   846.67     5.71   53.33    0.00   53.33   8.53  97.20
sde               0.00     0.00    0.00   87.00     0.00 30644.00   704.46     1.74   22.57    0.00   22.57   6.07  52.80
sda               0.00     0.00    0.00    3.00     0.00    12.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00     0.00    1.00   50.00     8.00 16508.00   647.69     1.25   24.71   24.00   24.72   7.92  40.40
sdg               0.00    18.00    1.00  295.00     8.00 23442.00   158.45     8.17  102.68  860.00  100.11   1.50  44.40
