Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,38,38000,7060.76,7060.76,0.14,141.62,100%
write,write,44,44000,6682.39,6682.39,0.15,149.64,100%
write,write,44,44000,6588.64,6588.64,0.15,151.77,100%
write,write,43,43000,6816.6,6816.6,0.15,146.7,100%
write,write,53,53000,5087.13,5087.13,0.2,196.57,100%
write,write,35,35000,8416.2,8416.2,0.12,118.82,100%
write,write,53,53000,5643.15,5643.15,0.18,177.2,100%
write,write,39,39000,7646.92,7646.92,0.13,130.77,100%
write,write,50,50000,5707.54,5707.54,0.18,175.2,100%
write,write,39,39000,7691.41,7691.41,0.13,130.01,100%
write,write,34,34000,8275.79,8275.79,0.12,120.83,100%
write,write,41,41000,7276.66,7276.66,0.14,137.42,100%
write,write,44,44000,6084.8,6084.8,0.16,164.34,100%
write,write,43,43000,6757.74,6757.74,0.15,147.97,100%
write,write,34,34000,8777.21,8777.21,0.11,113.93,100%
write,write,44,44000,6772.57,6772.57,0.15,147.65,100%
write,write,44,44000,6622.91,6622.91,0.15,150.99,100%
write,write,34,34000,8723.74,8723.74,0.11,114.63,100%
write,write,53,53000,5371.04,5371.04,0.19,186.18,100%
write,write,38,38000,7870.5,7870.5,0.13,127.05,100%
write,write,53,53000,5569.85,5569.85,0.18,179.53,100%
write,write,50,50000,5743.6,5743.6,0.17,174.1,100%
write,write,41,41000,6933.37,6933.37,0.14,144.22,100%
write,write,47,47000,6276.96,6276.96,0.16,159.31,100%
write,write,41,41000,7039.73,7039.73,0.14,142.05,100%
write,write,39,39000,7581.87,7581.87,0.13,131.89,100%
write,write,42,42000,6593.1,6593.1,0.15,151.67,100%
write,write,31,31000,9472.26,9472.26,0.11,105.57,100%
write,write,52,52000,5694.9,5694.9,0.18,175.59,100%
write,write,40,40000,7455.75,7455.75,0.13,134.12,100%
write,write,36,36000,8324.61,8324.61,0.12,120.12,100%
write,write,39,39000,7666.44,7666.44,0.13,130.44,100%
write,write,54,54000,5184.39,5184.39,0.19,192.88,100%
write,write,43,43000,6917.74,6917.74,0.14,144.55,100%
write,write,39,39000,7668.95,7668.95,0.13,130.39,100%
write,write,52,52000,5717.96,5717.96,0.17,174.88,100%
write,write,54,54000,5518.24,5518.24,0.18,181.21,100%
write,write,55,55000,4885.33,4885.33,0.2,204.69,100%
write,write,49,49000,6031.35,6031.35,0.17,165.8,100%
write,write,45,45000,6407.09,6407.09,0.16,156.07,100%
write,write,43,43000,6691.16,6691.16,0.15,149.45,100%
write,write,39,39000,7485.36,7485.36,0.13,133.59,100%
write,write,31,31000,9640.06,9640.06,0.1,103.73,100%
write,write,37,37000,7685.22,7685.22,0.13,130.12,100%
write,write,37,37000,7556.7,7556.7,0.13,132.33,100%
write,write,27,27000,9948.07,9948.07,0.1,100.52,100%
write,write,48,48000,6192.65,6192.65,0.16,161.48,100%
write,write,44,44000,6774.32,6774.32,0.15,147.61,100%
write,write,44,44000,6796.43,6796.43,0.15,147.13,100%
write,write,43,43000,6882.74,6882.74,0.15,145.29,100%
write,write,36,36000,7320.36,7320.36,0.14,136.6,100%
write,write,37,37000,7867.7,7867.7,0.13,127.1,100%
write,write,41,41000,7288.98,7288.98,0.14,137.19,100%
write,write,44,44000,6514.34,6514.34,0.15,153.5,100%
write,write,44,44000,6806.45,6806.45,0.15,146.92,100%
write,write,47,47000,6375.3,6375.3,0.16,156.85,100%
write,write,46,46000,6407.07,6407.07,0.16,156.07,100%
write,write,41,41000,7272.88,7272.88,0.14,137.49,100%
write,write,56,56000,5106.77,5106.77,0.2,195.81,100%
write,write,53,53000,5470.49,5470.49,0.18,182.79,100%
write,write,36,36000,8176.89,8176.89,0.12,122.29,100%
write,write,47,47000,6352.02,6352.02,0.16,157.42,100%
write,write,45,45000,6136.36,6136.36,0.16,162.96,100%
write,write,30,30000,8886.43,8886.43,0.11,112.53,100%
write,write,45,45000,6565.44,6565.44,0.15,152.31,100%
write,write,48,48000,6238,6238,0.16,160.3,100%
write,write,39,39000,7516.64,7516.64,0.13,133.04,100%
write,write,41,41000,7282.63,7282.63,0.14,137.31,100%
write,write,34,34000,8667.12,8667.12,0.12,115.38,100%
write,write,46,46000,6299.39,6299.39,0.16,158.74,100%
write,write,50,50000,5847.78,5847.78,0.17,171,100%
write,write,49,49000,6102.16,6102.16,0.16,163.87,100%
write,write,44,44000,6814.11,6814.11,0.15,146.75,100%
write,write,33,33000,8425.82,8425.82,0.12,118.68,100%
write,write,55,55000,5393.84,5393.84,0.19,185.39,100%
write,write,53,53000,5577.42,5577.42,0.18,179.29,100%
write,write,34,34000,8066.44,8066.44,0.12,123.97,100%
write,write,37,37000,7958,7958,0.13,125.66,100%
write,write,40,40000,7470.4,7470.4,0.13,133.86,100%
write,write,43,43000,6960.7,6960.7,0.14,143.66,100%
write,write,48,48000,6211.83,6211.83,0.16,160.98,100%
write,write,42,42000,7116.29,7116.29,0.14,140.52,100%
write,write,49,49000,6024.39,6024.39,0.17,165.99,100%
write,write,58,58000,5143.41,5143.41,0.19,194.42,100%
write,write,48,48000,6243.27,6243.27,0.16,160.17,100%
write,write,41,41000,7254.95,7254.95,0.14,137.83,100%
write,write,46,46000,5954.17,5954.17,0.17,167.95,100%
write,write,36,36000,7678.61,7678.61,0.13,130.23,100%
write,write,46,46000,6481.96,6481.96,0.15,154.27,100%
write,write,33,33000,8848.7,8848.7,0.11,113.01,100%
write,write,38,38000,7721.42,7721.42,0.13,129.51,100%
write,write,45,45000,6431.02,6431.02,0.16,155.49,100%
write,write,34,34000,8782.24,8782.24,0.11,113.87,100%
