Linux 3.19.0-25-generic (dss-storage-2) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           8.45    0.00    3.58    1.57    0.00   86.40

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdl               0.00    12.00    0.00   40.00     0.00 34684.00  1734.20     8.42  208.50    0.00  208.50  25.10 100.40
sdm               0.00    49.00    5.00   52.00    40.00 50312.00  1766.74    23.02  202.18  206.40  201.77  17.61 100.40
sdo               0.00    19.00    0.00   44.00     0.00 34992.00  1590.55     8.74  198.27    0.00  198.27  22.82 100.40
sdn               0.00    13.00    0.00   55.00     0.00 45596.00  1658.04    10.06  195.35    0.00  195.35  18.18 100.00
sdp               0.00    22.00    0.00   52.00     0.00 48212.00  1854.31    10.46  205.85    0.00  205.85  19.23 100.00
sdr               0.00    57.00    3.00  294.00    24.00 53902.50   363.14    54.68  185.52  214.67  185.22   3.37 100.00
sdt               0.00    25.00    0.00   52.00     0.00 48792.00  1876.62    10.56  201.00    0.00  201.00  19.23 100.00
sdu               0.00    54.00    2.00  248.00    16.00 40741.00   326.06    51.36  204.43  258.00  204.00   4.00 100.00
sdv               0.00    10.00    0.00   36.00     0.00 26864.00  1492.44     7.55  204.11    0.00  204.11  27.78 100.00
sdw               0.00    16.00    0.00   51.00     0.00 49752.00  1951.06     9.66  209.65    0.00  209.65  19.61 100.00
sdx               0.00    14.00    1.00   45.00     8.00 38628.00  1679.83     8.86  199.30  188.00  199.56  21.74 100.00
sdy               0.00    11.00    0.00   28.00     0.00 26340.00  1881.43     5.65  198.00    0.00  198.00  35.57  99.60
sds               0.00    14.00    0.00   42.00     0.00 37788.00  1799.43     8.78  208.00    0.00  208.00  23.81 100.00
sdq               0.00     8.00    0.00   37.00     0.00 32048.00  1732.32     8.10  219.35    0.00  219.35  27.03 100.00
sdz               0.00    18.00    0.00   12.00     0.00   620.00   103.33     0.16   13.00    0.00   13.00  13.00  15.60
dm-0              0.00     0.00    0.00   30.00     0.00   620.00    41.33     0.41   13.73    0.00   13.73   5.20  15.60
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          36.38    0.00   16.71   19.32    0.00   27.59

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    19.00    0.00   44.00     0.00 40192.00  1826.91    11.00  228.27    0.00  228.27  22.64  99.60
sdb               0.00     7.00    0.00   15.00     0.00 14164.00  1888.53     3.47  239.73    0.00  239.73  66.67 100.00
sdc               0.00    13.00    0.00  101.00     0.00 35823.50   709.38    13.15  203.09    0.00  203.09   9.90 100.00
sdd               0.00    18.00    1.00  126.00     8.00 25128.50   395.85    15.70  178.14  520.00  175.43   7.87 100.00
sdf               0.00    21.00    0.00   45.00     0.00 43576.00  1936.71    11.10  246.84    0.00  246.84  22.22 100.00
sde               0.00    75.00    1.00  385.00     8.00 37909.50   196.46    89.18  229.45  164.00  229.62   2.59 100.00
sdg               0.00    50.00    2.00  199.00    16.00 37133.00   369.64    97.07  378.77  174.00  380.82   4.98 100.00
sdh               0.00    34.00    2.00  173.00    16.00 20972.50   239.87    64.74  357.87  134.00  360.46   5.71 100.00
sdi               0.00    21.00    3.00   37.00    24.00 37920.00  1897.20    11.52  251.80  269.33  250.38  25.00 100.00
sdj               0.00     5.00    0.00   28.00     0.00 21200.00  1514.29     8.02  279.86    0.00  279.86  35.71 100.00
sdk               0.00    11.00    1.00   38.00     8.00 29520.00  1514.26    10.37  241.03  460.00  235.26  25.64 100.00
sdl               0.00     8.00    0.00   23.00     0.00 22756.00  1978.78     4.93  217.22    0.00  217.22  43.48 100.00
sdm               0.00    35.00    0.00  314.00     0.00 36324.50   231.37    32.55  137.76    0.00  137.76   3.18 100.00
sdo               0.00    16.00    0.00   34.00     0.00 35780.00  2104.71    10.77  273.41    0.00  273.41  29.41 100.00
sdn               0.00    13.00    1.00   33.00     8.00 27500.00  1618.12     9.94  271.65  476.00  265.45  29.41 100.00
sdp               0.00    22.00    0.00   40.00     0.00 38896.00  1944.80    11.12  257.30    0.00  257.30  25.00 100.00
sdr               0.00     8.00    0.00   40.00     0.00 29001.50  1450.08     9.68  238.40    0.00  238.40  25.00 100.00
sdt               0.00    71.00    2.00  329.00    16.00 35104.00   212.21   108.46  322.98  148.00  324.05   3.02 100.00
sdu               0.00    19.00    0.00   34.00     0.00 33252.00  1956.00    10.85  291.06    0.00  291.06  29.41 100.00
sdv               0.00    10.00    0.00   32.00     0.00 22824.00  1426.50     8.83  270.00    0.00  270.00  31.25 100.00
sdw               0.00    10.00    0.00   24.00     0.00 16032.00  1336.00     8.06  290.17    0.00  290.17  41.67 100.00
sdx               0.00    31.00    3.00   30.00    24.00 24324.00  1475.64    41.78  237.09  237.33  237.07  30.30 100.00
sdy               0.00    25.00    3.00   30.00    24.00 19712.00  1196.12    39.68  219.15  249.33  216.13  30.30 100.00
sds               0.00    16.00    0.00   43.00     0.00 38640.00  1797.21    10.73  251.16    0.00  251.16  23.26 100.00
sdq               0.00     5.00    1.00   21.00     8.00 14464.00  1315.64     6.68  293.45  440.00  286.48  45.27  99.60
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          35.44    0.00   17.08   19.73    0.00   27.74

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    18.00    0.00   47.00     0.00 43332.00  1843.91    11.95  237.96    0.00  237.96  21.28 100.00
sdb               0.00     9.00    0.00   30.00     0.00 27712.00  1847.47     9.54  239.33    0.00  239.33  33.33 100.00
sdc               0.00    13.00    0.00   33.00     0.00 31352.00  1900.12     9.29  266.42    0.00  266.42  30.30 100.00
sdd               0.00    34.00    1.00  189.00     8.00 38391.50   404.21    26.59  134.53  224.00  134.05   5.26 100.00
sdf               0.00    14.00    0.00   33.00     0.00 33948.00  2057.45    11.37  331.15    0.00  331.15  30.30 100.00
sde               0.00    10.00    0.00   34.00     0.00 31356.00  1844.47    12.42  316.47    0.00  316.47  29.41 100.00
sdg               0.00    24.00    1.00  235.00     8.00 34990.00   296.59    48.69  287.25  204.00  287.61   4.24 100.00
sdh               0.00    11.00    0.00   37.00     0.00 32876.50  1777.11    10.16  320.22    0.00  320.22  27.03 100.00
sdi               0.00    43.00    3.00   43.00    24.00 36284.00  1578.61    67.91  249.04  277.33  247.07  21.74 100.00
sdj               0.00     9.00    2.00   26.00    16.00 24320.00  1738.29     8.07  209.00  252.00  205.69  35.71 100.00
sdk               0.00    49.00    1.00  360.00     8.00 30787.00   170.61    81.00  220.70  304.00  220.47   2.77 100.00
sdl               0.00     7.00    0.00   32.00     0.00 22768.00  1423.00     9.20  240.00    0.00  240.00  31.25 100.00
sdm               0.00    16.00    0.00   35.00     0.00 34708.50  1983.34    10.92  284.46    0.00  284.46  28.57 100.00
sdo               0.00    16.00    0.00   44.00     0.00 40980.00  1862.73    11.55  256.09    0.00  256.09  22.73 100.00
sdn               0.00    56.00    1.00  341.00     8.00 22931.00   134.15    70.77  201.80  280.00  201.57   2.92 100.00
sdp               0.00     8.00    0.00   33.00     0.00 27952.00  1694.06     8.21  239.15    0.00  239.15  30.30 100.00
sdr               0.00     5.00    1.00   26.00     8.00 21456.00  1589.93     8.72  297.78  336.00  296.31  37.04 100.00
sdt               0.00    14.00    0.00  148.00     0.00 34869.00   471.20    27.40  192.65    0.00  192.65   6.76 100.00
sdu               0.00    15.00    1.00   36.00     8.00 34472.00  1863.78    11.43  275.89  328.00  274.44  27.03 100.00
sdv               0.00    19.00    2.00   39.00    16.00 36812.00  1796.49    11.14  234.54  250.00  233.74  24.39 100.00
sdw               0.00    16.00    3.00   33.00    24.00 35764.00  1988.22    10.59  257.56  241.33  259.03  27.78 100.00
sdx               0.00    26.00    0.00  272.00     0.00 22001.50   161.78    32.32  238.93    0.00  238.93   3.68 100.00
sdy               0.00    27.00    0.00  281.00     0.00 22751.50   161.93    34.47  227.32    0.00  227.32   3.56 100.00
sds               0.00     2.00    0.00   17.00     0.00 14172.00  1667.29     5.88  262.59    0.00  262.59  58.82 100.00
