Linux 3.13.0-63-generic (dss-storage-3) 	10/27/2015 	_x86_64_	(24 CPU)

11:18:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:19:58 AM  all   78.80    0.00   14.39    1.38    0.00    3.76    0.00    0.00    0.00    1.67
11:19:59 AM  all   76.24    0.00   14.95    2.40    0.00    3.50    0.00    0.00    0.00    2.91
11:20:00 AM  all   73.43    0.00   15.23    2.75    0.00    6.22    0.00    0.00    0.00    2.38
11:20:01 AM  all   75.59    0.00   15.81    2.22    0.00    4.32    0.00    0.00    0.00    2.06
11:20:02 AM  all   78.53    0.00   15.42    0.79    0.00    4.00    0.00    0.00    0.00    1.25
11:20:03 AM  all   78.10    0.00   15.02    1.08    0.00    4.34    0.00    0.00    0.00    1.46
11:20:04 AM  all   78.05    0.00   15.74    1.21    0.00    3.50    0.00    0.00    0.00    1.50
11:20:05 AM  all   79.30    0.00   14.65    1.00    0.00    3.84    0.00    0.00    0.00    1.21
11:20:06 AM  all   79.38    0.00   14.25    1.30    0.00    3.23    0.00    0.00    0.00    1.84
11:20:07 AM  all   77.79    0.00   15.93    0.96    0.00    3.51    0.00    0.00    0.00    1.80
11:20:08 AM  all   71.43    0.00   16.72    3.14    0.00    5.24    0.00    0.00    0.00    3.48
11:20:09 AM  all   70.30    0.00   16.14    4.15    0.00    3.64    0.00    0.00    0.00    5.76
11:20:10 AM  all   64.89    0.00   15.34    6.09    0.00    3.32    0.00    0.00    0.00   10.35
11:20:11 AM  all   77.75    0.00   15.53    1.13    0.00    4.47    0.00    0.00    0.00    1.13
11:20:12 AM  all   78.96    0.00   14.89    1.05    0.00    3.64    0.00    0.00    0.00    1.46
11:20:13 AM  all   77.75    0.00   15.25    1.71    0.00    3.08    0.00    0.00    0.00    2.21
11:20:14 AM  all   78.28    0.00   14.73    1.30    0.00    3.47    0.00    0.00    0.00    2.22
11:20:15 AM  all   77.33    0.00   15.17    1.42    0.00    4.53    0.00    0.00    0.00    1.55
11:20:16 AM  all   77.98    0.00   15.04    1.17    0.00    4.64    0.00    0.00    0.00    1.17
11:20:17 AM  all   76.45    0.00   15.64    2.26    0.00    3.93    0.00    0.00    0.00    1.71
11:20:18 AM  all   77.45    0.00   14.70    2.10    0.00    3.61    0.00    0.00    0.00    2.14
11:20:19 AM  all   76.99    0.00   15.19    2.30    0.00    3.64    0.00    0.00    0.00    1.88
11:20:20 AM  all   79.91    0.00   14.94    0.88    0.00    3.26    0.00    0.00    0.00    1.00
11:20:21 AM  all   80.90    0.00   14.72    0.58    0.00    3.00    0.00    0.00    0.00    0.79
11:20:22 AM  all   76.06    0.00   15.97    2.10    0.00    3.27    0.00    0.00    0.00    2.60
11:20:23 AM  all   78.06    0.00   15.52    1.46    0.00    3.71    0.00    0.00    0.00    1.25
11:20:24 AM  all   76.33    0.00   15.93    2.22    0.00    3.68    0.00    0.00    0.00    1.84
11:20:25 AM  all   78.18    0.00   14.98    1.54    0.00    3.75    0.00    0.00    0.00    1.54
11:20:26 AM  all   72.90    0.00   15.28    4.17    0.00    3.03    0.00    0.00    0.00    4.63
11:20:27 AM  all   74.06    0.00   14.61    4.63    0.00    2.29    0.00    0.00    0.00    4.42
11:20:28 AM  all   78.61    0.00   15.02    1.80    0.00    2.31    0.00    0.00    0.00    2.27
11:20:29 AM  all   75.60    0.00   15.49    2.32    0.00    3.55    0.00    0.00    0.00    3.04
11:20:30 AM  all   76.93    0.00   15.20    1.93    0.00    2.93    0.00    0.00    0.00    3.02
11:20:31 AM  all   77.65    0.00   15.21    1.39    0.00    3.19    0.00    0.00    0.00    2.56
11:20:32 AM  all   75.56    0.00   15.14    2.81    0.00    3.44    0.00    0.00    0.00    3.06
11:20:33 AM  all   68.65    0.00   15.65    4.79    0.00    2.95    0.00    0.00    0.00    7.96
11:20:34 AM  all   64.29    0.00   14.46    7.47    0.00    2.06    0.00    0.00    0.00   11.72
