Linux 3.13.0-63-generic (storage-node1) 	10/26/2015 	_x86_64_	(24 CPU)

10:37:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:39:21 AM  all   67.86    0.00   12.30    0.04    0.00    1.21    0.00    0.00    0.00   18.58
10:39:22 AM  all   69.04    0.00   11.86    0.00    0.00    1.00    0.00    0.00    0.00   18.10
10:39:23 AM  all   66.28    0.00   13.32    0.00    0.00    1.83    0.00    0.00    0.00   18.58
10:39:24 AM  all   71.19    0.00   10.97    0.00    0.00    1.39    0.00    0.00    0.00   16.45
10:39:25 AM  all   65.57    0.00   11.10    0.00    0.00    1.23    0.00    0.00    0.00   22.11
10:39:26 AM  all   71.13    0.00   12.22    0.00    0.00    1.64    0.00    0.00    0.00   15.02
10:39:27 AM  all   73.77    0.00   12.13    0.00    0.00    1.24    0.00    0.00    0.00   12.86
10:39:28 AM  all   69.31    0.00   14.11    0.00    0.00    1.68    0.00    0.00    0.00   14.89
10:39:29 AM  all   71.91    0.00   11.98    0.00    0.00    1.33    0.00    0.00    0.00   14.78
10:39:30 AM  all   72.32    0.00   12.11    0.00    0.00    1.43    0.00    0.00    0.00   14.14
10:39:31 AM  all   69.34    0.00   12.59    0.00    0.00    1.43    0.00    0.00    0.00   16.63
10:39:32 AM  all   68.07    0.00   11.33    0.00    0.00    1.49    0.00    0.00    0.00   19.12
10:39:33 AM  all   68.91    0.00   13.04    0.00    0.00    1.17    0.00    0.00    0.00   16.88
10:39:34 AM  all   62.67    0.00   12.22    0.00    0.00    1.54    0.00    0.00    0.00   23.57
10:39:35 AM  all   69.44    0.00   12.69    0.00    0.00    0.99    0.00    0.00    0.00   16.88
10:39:36 AM  all   68.42    0.00   11.93    0.04    0.00    1.39    0.00    0.00    0.00   18.21
10:39:37 AM  all   67.60    0.00   11.40    0.00    0.00    1.70    0.00    0.00    0.00   19.30
10:39:38 AM  all   71.14    0.00   11.58    0.00    0.00    1.43    0.00    0.00    0.00   15.85
10:39:39 AM  all   71.11    0.00   12.41    0.00    0.00    1.38    0.00    0.00    0.00   15.10
10:39:40 AM  all   74.48    0.00   11.97    0.00    0.00    1.83    0.00    0.00    0.00   11.72
10:39:41 AM  all   75.15    0.00   11.39    0.00    0.00    1.29    0.00    0.00    0.00   12.17
10:39:42 AM  all   73.82    0.00   11.84    0.00    0.00    1.34    0.00    0.00    0.00   13.01
10:39:43 AM  all   71.58    0.00   14.06    0.00    0.00    1.33    0.00    0.00    0.00   13.03
10:39:44 AM  all   64.77    0.00   11.76    0.00    0.00    1.28    0.00    0.00    0.00   22.19
10:39:45 AM  all   74.72    0.00   11.55    0.00    0.00    1.33    0.00    0.00    0.00   12.40
10:39:46 AM  all   72.79    0.00   12.15    0.00    0.00    1.25    0.00    0.00    0.00   13.80
10:39:47 AM  all   73.43    0.00   11.31    0.00    0.00    1.08    0.00    0.00    0.00   14.17
10:39:48 AM  all   73.55    0.00   11.82    0.00    0.00    1.60    0.00    0.00    0.00   13.03
10:39:49 AM  all   73.42    0.00   12.54    0.00    0.00    0.94    0.00    0.00    0.00   13.10
10:39:50 AM  all   68.74    0.00   13.87    0.00    0.00    0.91    0.00    0.00    0.00   16.48
10:39:51 AM  all   69.02    0.00   11.16    0.00    0.00    1.30    0.00    0.00    0.00   18.52
