================================================== stage: s1-64m-1t ==================================================
---------------------------------- mission: M7E24F0CD29, driver: driver1 ----------------------------------
2015-11-07 14:19:41,083 [INFO] [NoneStorage] - performing GET at /dssreadbench42/6myobject
2015-11-07 14:19:41,082 [INFO] [NoneStorage] - performing GET at /dssreadbench49/4myobject
2015-11-07 14:19:41,082 [INFO] [NoneStorage] - performing GET at /dssreadbench43/3myobject
2015-11-07 14:19:41,082 [INFO] [NoneStorage] - performing GET at /dssreadbench41/2myobject
2015-11-07 14:19:41,082 [INFO] [NoneStorage] - performing GET at /dssreadbench46/1myobject
2015-11-07 14:19:41,082 [INFO] [NoneStorage] - performing GET at /dssreadbench47/10myobject
2015-11-07 14:19:41,082 [INFO] [NoneStorage] - performing GET at /dssreadbench45/9myobject
2015-11-07 14:19:41,081 [INFO] [NoneStorage] - performing GET at /dssreadbench49/8myobject
2015-11-07 14:19:41,081 [INFO] [NoneStorage] - performing GET at /dssreadbench46/7myobject
2015-11-07 14:19:41,081 [INFO] [NoneStorage] - performing GET at /dssreadbench46/5myobject
2015-11-07 14:19:41,081 [INFO] [NoneStorage] - performing GET at /dssreadbench48/6myobject
2015-11-07 14:19:41,081 [INFO] [NoneStorage] - performing GET at /dssreadbench43/4myobject
2015-11-07 14:19:41,081 [INFO] [NoneStorage] - performing GET at /dssreadbench41/3myobject
2015-11-07 14:19:41,081 [INFO] [NoneStorage] - performing GET at /dssreadbench45/2myobject
2015-11-07 14:19:46,465 [INFO] [NoneStorage] - performing GET at /dssreadbench46/7myobject
2015-11-07 14:19:46,604 [INFO] [NoneStorage] - performing GET at /dssreadbench48/8myobject
2015-11-07 14:19:46,772 [INFO] [NoneStorage] - performing GET at /dssreadbench46/9myobject
2015-11-07 14:19:47,195 [INFO] [NoneStorage] - performing GET at /dssreadbench49/10myobject
2015-11-07 14:19:47,356 [INFO] [NoneStorage] - performing GET at /dssreadbench49/1myobject
2015-11-07 14:19:47,464 [INFO] [NoneStorage] - performing GET at /dssreadbench44/2myobject
2015-11-07 14:19:48,021 [INFO] [NoneStorage] - performing GET at /dssreadbench46/3myobject
2015-11-07 14:19:48,406 [INFO] [NoneStorage] - performing GET at /dssreadbench50/4myobject
2015-11-07 14:19:48,766 [INFO] [NoneStorage] - performing GET at /dssreadbench43/5myobject
2015-11-07 14:19:48,777 [INFO] [NoneStorage] - performing GET at /dssreadbench49/6myobject
