       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1000.34   1368.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    839.83   1265.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1162.58   1421.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    635.45    920.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1029.02   1157.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    599.15    937.06
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    865.34   1329.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    782.91   1020.58
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    844.90   1042.15
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    696.08   1042.60
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    698.60    970.76
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    906.97   1328.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    964.48   1191.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    618.13    782.15
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    755.35    931.04
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    861.60   1159.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    681.53   1090.04
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    816.15   1139.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    854.27   1066.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    925.43   1165.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    865.85   1161.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    853.30   1168.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    718.20    937.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    861.95    975.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    859.98   1056.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    729.85   1029.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    789.37   1197.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    928.95   1302.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    774.67   1101.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    991.76   1260.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    862.95   1192.95
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    780.52   1155.92
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    842.41   1057.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    715.61    914.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    765.61    982.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1017.80   1133.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    705.25   1107.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    842.53   1063.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    858.25   1064.44
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    784.60   1056.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    759.30   1078.71
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    769.65   1139.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    671.77    787.31
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    639.89    677.96
