================================================== stage: s1-dispose ==================================================
---------------------------------- mission: MFE184CCC1F, driver: driver1 ----------------------------------
2015-11-07 10:37:08,570 [INFO] [NoneStorage] - performing DELETE at /dsswritebench161
2015-11-07 10:37:08,604 [INFO] [NoneStorage] - performing DELETE at /dsswritebench162
2015-11-07 10:37:08,675 [INFO] [NoneStorage] - performing DELETE at /dsswritebench163
2015-11-07 10:37:08,714 [INFO] [NoneStorage] - performing DELETE at /dsswritebench164
2015-11-07 10:37:08,740 [INFO] [NoneStorage] - performing DELETE at /dsswritebench165
2015-11-07 10:37:08,785 [INFO] [NoneStorage] - performing DELETE at /dsswritebench166
2015-11-07 10:37:08,820 [INFO] [NoneStorage] - performing DELETE at /dsswritebench167
2015-11-07 10:37:08,851 [INFO] [NoneStorage] - performing DELETE at /dsswritebench168
2015-11-07 10:37:08,879 [INFO] [NoneStorage] - performing DELETE at /dsswritebench169
2015-11-07 10:37:08,908 [INFO] [NoneStorage] - performing DELETE at /dsswritebench170
2015-11-07 10:37:08,945 [INFO] [NoneStorage] - performing DELETE at /dsswritebench171
2015-11-07 10:37:08,968 [INFO] [NoneStorage] - performing DELETE at /dsswritebench172
2015-11-07 10:37:08,993 [INFO] [NoneStorage] - performing DELETE at /dsswritebench173
2015-11-07 10:37:09,028 [INFO] [NoneStorage] - performing DELETE at /dsswritebench174
2015-11-07 10:37:09,058 [INFO] [NoneStorage] - performing DELETE at /dsswritebench175
2015-11-07 10:37:09,086 [INFO] [NoneStorage] - performing DELETE at /dsswritebench176
2015-11-07 10:37:09,113 [INFO] [NoneStorage] - performing DELETE at /dsswritebench177
2015-11-07 10:37:09,156 [INFO] [NoneStorage] - performing DELETE at /dsswritebench178
2015-11-07 10:37:09,187 [INFO] [NoneStorage] - performing DELETE at /dsswritebench179
2015-11-07 10:37:09,215 [INFO] [NoneStorage] - performing DELETE at /dsswritebench180
2015-11-07 10:37:09,244 [INFO] [NoneStorage] - performing DELETE at /dsswritebench181
2015-11-07 10:37:09,279 [INFO] [NoneStorage] - performing DELETE at /dsswritebench182
2015-11-07 10:37:09,303 [INFO] [NoneStorage] - performing DELETE at /dsswritebench183
2015-11-07 10:37:09,327 [INFO] [NoneStorage] - performing DELETE at /dsswritebench184
2015-11-07 10:37:09,357 [INFO] [NoneStorage] - performing DELETE at /dsswritebench185
2015-11-07 10:37:09,381 [INFO] [NoneStorage] - performing DELETE at /dsswritebench186
2015-11-07 10:37:09,408 [INFO] [NoneStorage] - performing DELETE at /dsswritebench187
2015-11-07 10:37:09,435 [INFO] [NoneStorage] - performing DELETE at /dsswritebench188
2015-11-07 10:37:09,476 [INFO] [NoneStorage] - performing DELETE at /dsswritebench189
2015-11-07 10:37:09,511 [INFO] [NoneStorage] - performing DELETE at /dsswritebench190
2015-11-07 10:37:09,550 [INFO] [NoneStorage] - performing DELETE at /dsswritebench191
2015-11-07 10:37:09,577 [INFO] [NoneStorage] - performing DELETE at /dsswritebench192
